date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-12-21,4.25,2.25,2,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1666638974f54mig
2025-12-22,4,2.15,1.25,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,50b7e1cdb44c4mig
2025-12-23,5.25,4.5,0.25,9.5,,,85,88,4,0.75,,6,,,,,FALSE,FALSE,FALSE,,0888106d65314mig
2025-12-24,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ae57109f5b1d4mig
2025-12-25,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,45f5ca9f86394mig
2025-12-26,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,,1139857ab1724mig
2025-12-27,2.75,2,1,5.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8a47714044e84mig
2025-12-28,2,2,1,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2bd4f726b20c4mig
2025-12-29,1,1.5,0.25,0.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,fdaddc4f3fca4mig
2025-12-30,4.25,1.5,1,2.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ef1acbd740354mig
2025-12-31,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,059a3399e2eb4mig
2026-01-01,3,,1.5,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8d5536de40b34mig
2026-01-02,5,1,1.5,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2aed22a3acb54mig
2026-01-03,4.2,0.75,1.5,4.25,,,95,,5,0.75,,,,,,,FALSE,FALSE,FALSE,,b2fb5a48ec054mig
2026-01-04,3.5,0.25,1.5,3.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,dc9bff257f4f4mig
2026-01-05,5,0.5,1.5,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f1a792ebabf94mig
2026-01-06,7.25,1,2.5,7,,,,,3,0.5,,4,,,,,FALSE,FALSE,FALSE,,6ffa3d1396524mig
2026-01-07,6.5,0.75,1.5,5.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ba1ebc14facb4mig
2026-01-08,8.5,1.5,1,9.75,,,57,77,3.25,,,4.25,,,,,TRUE,FALSE,FALSE,,820936657f824mig
2026-01-09,6,1.25,1.2,6.75,,,,,,,,,,,,,FALSE,FALSE,TRUE,,b03f70b352914mig
2026-01-10,4.25,1,1,3.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,58f44422f4294mig
2026-01-11,3,0.5,3,2,,,,,,,,,,,,,FALSE,FALSE,FALSE,,701ba8562ea64mig
2026-01-12,1.5,0.25,1,1.5,,,,,,,,,,,,,TRUE,FALSE,FALSE,,ba108266e45f4mig
2026-01-13,4.5,1.25,5,5,,,85,77,3.75,1,,4.25,,,,,FALSE,FALSE,FALSE,,3f509453cc804mig
2026-01-14,3.25,1,4,4.15,,,,,,,,,,,,,FALSE,FALSE,FALSE,,bd2f42e0a9014mig
2026-01-15,2.25,0.75,3,2.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,5653490ac2b84mig
2026-01-16,5,1.5,2,8,,,90,99,2,1,,7,,,,,FALSE,FALSE,FALSE,,e67e4ac3c0f54mig
2026-01-17,4,2.15,1.5,6,,,,,2,0.5,,,,,,,TRUE,FALSE,TRUE,,2f7040deb4f94mig
2026-01-18,2.5,1.25,2.25,4,,,,,,,,,,,,,FALSE,TRUE,FALSE,,75a120d868ac4mig
2026-01-19,2,1,2,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,22256fb3b4554mig
2026-01-20,5,1.5,2,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f3f69d549a284mig
2026-01-21,4,1,0.5,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1f8476ba2f904mig
2026-01-22,7,1.5,4.5,6.75,,,85,55,3.9,1,,4,,,,,TRUE,FALSE,FALSE,,236e5fc939f14mig
2026-01-23,6,1,4,5,,,,,6,,,,,,,,FALSE,FALSE,FALSE,,84672a0df7ee4mig
